Player,Salary(2021-2022),Salary(2022-2023),Salary(2023-2024)
Aaron Gordon,16409091,20690909,21266182
Aaron Nesmith,3631200,3804360,5634257
Al Horford,27000000,26500000,10000000
Alec Burks,9536000,10012800,10489600
Aleksej Pokusevski,3113160,3261480,5574809
Alex Caruso,8600000,9030000,9460000
Alperen Sengun,3214680,3375360,3536280
Andrew Wiggins,31579390,33616770,24330357
Anfernee Simons,3938818,22321429,24107143
Anthony Davis,35361360,37980720,40600080
Anthony Edwards,10245480,10733400,13534817
Bam Adebayo,28103500,30351780,32600060
Ben Simmons,33003936,35448672,37893408
Bobby Portis,4347600,10843350,11710818
Bogdan Bogdanovic,18000000,18000000,18700000
Bojan Bogdanovic,18700000,19550000,20000000
Bradley Beal,33724200,43279250,46741590
Brandon Clarke,2726880,4343919,12500000
Brandon Ingram,29467800,31650600,33833400
Brook Lopez,13302325,13906976,25000000
Bruce Brown,4736102,6479000,22000000
Buddy Hield,23073234,21177750,19321859
Cade Cunningham,10050120,10552800,11055360
Cameron Johnson,4437000,5887899,25679348
Cameron Payne,6500000,6000000,9391467
Caris LeVert,17500000,18796296,15384616
Cedi Osman,8133334,7426088,6718842
Chris Boucher,7020000,12690000,11750000
Chris Duarte,3749400,3936960,4124400
Chris Paul,30800000,28400000,30800000
Chuma Okeke,3277080,3433320,5266712
CJ McCollum,30864198,33333333,35802469
Clint Capela,17603448,18206896,20616000
Coby White,5837760,7413955,11111111
Cole Anthony,3449400,3613680,5539771
Collin Sexton,6349671,16700000,17525000
Corey Kispert,3383640,3552840,3722040
Damian Lillard,39344900,42492492,45640084
D'Angelo Russell,30013500,31377750,17307693
Daniel Theis,8280351,8694369,9108387
Danilo Gallinari,20475000,19479000,7850062
Danuel House,4997424,4105000,4310250
Darius Garland,7040880,8920794,34005250
Davion Mitchell,4603200,4833600,5063640
Davis Bertans,16000000,16000000,17000000
De'Aaron Fox,28103500,30351780,32600060
Deandre Ayton,12632950,30913750,32459438
De'Andre Hunter,7775400,9835881,20089286
De'Anthony Melton,8805976,8250000,8000000
Dejounte Murray,15428880,17071120,18214000
Delon Wright,8526316,7804878,8195122
DeMar DeRozan,26000000,27300000,28600000
Deni Avdija,4692840,4916160,6263188
Derrick White,15678571,17142857,18857143
Devin Booker,31650600,33833400,36016200
Devin Vassell,4235160,4437000,5887899
Devonte Graham,11000000,11550000,12100000
Dillon Brooks,12200000,11400000,22627671
Domantas Sabonis,18500000,21100000,29300000
Donovan Mitchell,28103500,30913750,33162030
Donte DiVincenzo,4675830,4500000,10900000
Dorian Finney-Smith,4000000,12939848,13932008
Doug McDermott,13750000,13750000,14000000
Draymond Green,24026712,25806468,22321429
Duncan Robinson,15650000,16902000,18154000
Dwight Powell,11080125,11080125,4000000
Evan Fournier,17142857,18000000,18857143
Evan Mobley,8075160,8478720,8882640
Franz Wagner,5007840,5258280,5508720
Fred VanVleet,19675926,21250000,40806300
Furkan Korkmaz,4629630,5000000,5370370
Gary Harris,20932143,13000000,13000000
Gary Trent Jr,16225000,17280000,18560000
Georges Niang,3300000,3465000,8800000
Giannis Antetokounmpo,39344900,42492492,45640084
Gordon Hayward,29925000,30075000,33319397
Grayson Allen,4054695,8925000,8925000
Harrison Barnes,20284091,18352273,17000000
Isaac Okoro,6720720,7040880,8920794
Isaiah Stewart,3277080,3433320,5266713
Ivica Zubac,7518518,10123457,10933333
Ja Morant,9603360,12119440,34005250
Jakob Poeltl,8750000,9398148,19500000
Jalen Green,8992080,9441840,9891480
Jalen Smith,4458000,4670160,5043773
Jalen Suggs,6592920,6922320,7252080
Jamal Murray,29467800,31650600,33833400
James Bouknight,4154400,4362240,4570080
James Harden,44310840,33000000,35680595
James Johnson,2641691,3841067,3839412
James Wiseman,9166800,9603360,12119440
Jaren Jackson Jr,9180560,28946605,27102202
Jarred Vanderbilt,4050000,4374000,4640000
Jarrett Allen,20000000,20000000,20000000
JaVale McGee,5000000,5461219,5544772
Jaylen Brown,26758928,29776785,31830357
Jayson Tatum,28103500,30351780,32600060
Jeff Green,4500000,4500000,8000000
Jerami Grant,20002500,20955000,27586207
Jevon Carter,4107149,6025000,6190476
Jimmy Butler,36016200,37653300,45183960
Joe Harris,17357143,18642857,19928571
Joe Ingles,13036364,6479000,11000000
Joel Embiid,31579390,33616770,47607350
John Collins,23000000,23500000,25340000
Jonas Valanciunas,14000000,14700000,15435000
Jonathan Isaac,17400000,17400000,17400000
Jonathan Kuminga,5466360,5739840,6012840
Jordan Clarkson,12420000,13340000,23487629
Josh Giddey,5988000,6287400,6587040
Josh Green,2957520,3098400,4765339
Josh Hart,12000000,12960000,12960000
Josh Primo,3946800,4144320,5341600
Jrue Holiday,31171333,34319520,37620347
Julius Randle,19800000,23760000,26943840
Jusuf Nurkic,12000000,15625000,16875000
